模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,说明,相对机制主模型RMSE改善率,相对朴素基准RMSE改善率
机制递推主模型,3.439811749485179,2.8548897149407795,2.8584575641089542,64.44444444444444,7.429552950754243,不使用当日真实价格的综合机制递推结果,0.0,22.986666327535723
在线残差校正模型,3.383114169073156,2.7938211745346764,2.797042451215497,57.77777777777777,6.81055493775861,只使用上一交易日以前已观测误差进行一阶自适应校正,1.6482756773102125,24.256058374744708
朴素上一日基准,4.466514544240624,3.5699999999999994,3.540592156836684,46.666666666666664,10.819999999999993,预测今日价格等于上一交易日真实收盘价,-29.847644857574174,0.0
